Kana Chen Jue,,,Individual Trainees,D,,t,34
GoGo Gou Xueying,,,Individual Trainees,B,,t,-
Victoria Li Yichen,,,Individual Trainees,D,,t,-
Ranee Wang Wanchen,,,Individual Trainees,D,,t,-
Zoe Wang Xinyu,,,Individual Trainees,B,,t,-
Hikari Xia Yan,,,Individual Trainees,C,,t,-
Pumpkin Xu Baiyi,,,Individual Trainees,D,,t,
Bunny Zhang Chuhan,,,Individual Trainees,A,,t,27
Yume Ma Shujun,,,Individual Trainees,A,,t,-
Yeong Quan Xiaoying,,,Ladybees Multimedia,F,,t,
XIN Liu Yuxin,,,AMG Asian Music Group,A,,t,2
Juicy Zuo Zhuo,,,Bymoon Entertainment,D,,e,35
Mizuki Lin Huibo,,,Banana Entertainment,B,,e,
Hannah Du Ziyi,,,Banana Entertainment,F,,e,
Suzanne Su Qinrou,,,Banana Entertainment,D,,e,
Sophia Wang Shuhui,,,Banana Entertainment,B,,e,
Eileen Ai Lin,,,South Fest,F,,e,
Shaking Xie Keyin,,,J N E R A,A,,e,4
Meddhi Fu Ruqiao,,,M.Nation,C,,e,32
Flora Dai Yanni,,,Cool Young Entertainment,B,,e,17
Weiwei Duan Xiaowei,,,Mon Young Pictures,D,,e,-
Kiki Wei Qiqi,,,Mon Young Pictures,C,,e,
Yvonne Wang Qing,,,D.Wang Entertainment,C,,e,-
Jade Zhang Yu,,,D.Wang Entertainment,C,,e,28
Eva Yao Yifan,,,One Cool Jasco,D,,e,
Jennifer Zhou Ziqian,,,One Cool Jasco,F,,e,
Luna Qinniu Zhengwei,,,Digital Mars Entertainment,F,,e,-
ET Yang Yutong,,,Digital Mars Entertainment,C,,e,
Heart Cheng Manxin,,,Encore Music,C,,e,
Rio Wang Rui,,,Feibao Media,C,,e,
Wang Yaoyao,,,Hot Idol,F,,e,
Roada Xu Ziyin,,,Hot Idol,D,,e,19
Ice Shen Bing,,,Alliance Art Group,D,,e,
Ali Shen Jie,,,Alliance Art Group,C,,e,
Claire Shen Qing,,,Alliance Art Group,F,,e,
Jade Shen Yu,,,Alliance Art Group,F,,e,
Hamy He Meiyan,,,Hedgehog Brothers Entertainment,D,,e,
Sunny Jin Yangyang,,,Hippo Film,D,,e,-
Monster Sun Meinan,,,Hippo Film,F,,e,-
Zizi Xu Zhenzhen,,,Hippo Film,D,,e,-
Zhang Menglu,,,Hippo Film,F,,e,-
Uah Liu Yanan,,,Huayi Brothers,D,,e,
Aishah Ah Yixia,,,Love & Peace,F,,e,
Yu Yan,,,Joinhall Media,A,,e,3
Poppy Liu Haihan,,,Jaywalk Newjoy,D,,e,
Tonkey Tang Keyi,,,Jaywalk Newjoy,D,,e,
Yealy Wang Yale,,,Jaywalk Newjoy,F,,e,
Bubble Zhu Linyu,,,Jaywalk Newjoy,B,,e,31
Kelly Lin Weixi,,,Lionheart Entertainment,B,,e,
Jacqueline Zhang Tianxin,,,Lehui Media,C,,e,
Hana Lin Xiaozhai,,,Good@ Media,D,,e,33
Joey Chua Zhuoyi,,,Maninquin Entertainment,D,,e,26
Snow Kong Xueer,,,Mountain Top Entertainment,B,,e,8
Lana Zhao Xiaotang,,,Mountain Top Entertainment,C,,e,5
Yennis Huang Xinyuan,,,M+ Entertainment,D,,e,-
Nikita Huang Yiming,,,M+ Entertainment,F,,e,
Yuni Xiong Yuqing,,,M+ Entertainment,C,,e,
Liu Lingzi,,,OACA,B,,e,10
Milla Mi La,,,OACA,C,,e,
Seven Zou Siyang,,,OACA,D,,e,
Jenny Zeng Keni,,,OACA,B,,e,16
Wang Mengyu Aurora,,,OACA,D,,e,
Gia Jin Jiya,,,Off/Shore Music,F,,e,
NaHo Qi Sui,,,Second Culture,B,,e,-
Feng Ruohang,,,Shengyuan Inter Entertainment,D,,e,-
Lynn Zhou Lincong,,,Shengyuan Inter Entertainment,D,,e,
Zha Yichen,,,Shengyuan Inter Entertainment,B,,e,
Joy Zhuoyi Namu,,,Channy Dynasty,C,,e,
DDD Duan Yixuan,,,Shanghai Star48 Culture Media Group</br>SNH48,C,,e,30
Momo Mo Han,,,Shanghai Star48 Culture Media Group</br>SNH48,D,,e,22
Song Xinran,,,Shanghai Star48 Culture Media Group</br>SNH48,D,,e,18
Three Sun Rui,,,Shanghai Star48 Culture Media Group</br>SNH48,F,,e,15
Fei Qinyuan,,,Shanghai Star48 Culture Media Group</br>SNH48,C,,e,-
Air Su Shanshan,,,Shanghai Star48 Culture Media Group</br>SNH48,F,,e,-
